nbStation 70
nbDeparture 15

Index	X	Y
1	25.083826	121.648244
2	25.082423	121.648912
3	25.079195	121.6493127
4	25.077722	121.649909
5	25.076269	121.649804
6	25.07563	121.650181
7	25.075856	121.644525
8	25.075359	121.641733
9	25.074711	121.640323
10	25.07383644	121.6390103
11	25.07195441	121.6371164
12	25.07147645	121.6352014
13	25.07141234	121.6334489
14	25.071147	121.6310686
15	25.069422	121.6276293
16	25.068229	121.625833
17	25.067032	121.62487
18	25.06666453	121.6212807
19	25.06680801	121.6188199
20	25.068177	121.61668
21	25.06876328	121.6143084
22	25.067493	121.6115022
23	25.05968702	121.6142045
24	25.05645046	121.613945
25	25.05496831	121.6097763
26	25.05340065	121.6069591
27	25.074762	121.683273
28	25.072605	121.682809
29	25.07129	121.67919
30	25.073658	121.675147
31	25.0763	121.67317
32	25.07733	121.6676204
33	25.07167	121.66475
34	25.06917666	121.6616891
35	25.067906	121.659997
36	25.066335	121.654564
37	25.06486	121.652863
38	25.063921	121.650598
39	25.06295544	121.6470153
40	25.062079	121.644615
41	25.061	121.64195
42	25.05922808	121.6381521
43	25.05972903	121.6368796
44	25.06174	121.63512
45	25.064007	121.633166
46	25.06600333	121.6314011
47	25.06922056	121.6286716
48	25.05441139	121.6066935
49	25.05385654	121.6036135
50	25.0534257	121.6008055
51	25.05380038	121.5985799
52	25.0546	121.59552
53	25.07577099	121.6668948
54	25.073617	121.666124
55	25.07186389	121.6659388
56	25.070512	121.666989
57	25.067916	121.672244
58	25.065817	121.67482
59	25.067594	121.668067
60	25.066328	121.662717
61	25.06478	121.65913
62	25.063336	121.656
63	25.062102	121.652972
64	25.06145	121.64922
65	25.060814	121.646153
66	25.0562485	121.6321756
67	25.05508	121.62132
68	25.05514259	121.6173421
69	25.05534	121.6156
70	25.05539443	121.6136587

LINES
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	16	17	18	19	20	21	22	23	24	25	48	49	50	51	52
27	28	29	30	31	32	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	25	48	49	50	51	52

DEPATURE TIME
0	30	60	90	120	150	180	210	240	270	300	330	360	390	420  
